,VERIFICATION STATUS,ORGANIZATION,CATEGORY,EMAIL ,Link,PHONE,ADDRESS,WEBSITE,Services Provided,Hours of Service,Comment,latitude,longitude
0,Verified,Abundant Life Church,Faith Based Services,,,(703)364-9580,"12964 Harbor Dr, Woodbridge, VA 22192",www.woodbridge.church,"The mission of the church is to reach the whole world with the gospel. In collaboration with Holy, One Lord, One Faith, One Baptism International (HO3I) is a 501(c)(3) non-profit Christian organization that evangelizes the Gospel of Jesus Christ to the whole world and unites churches under the name of Jesus Christ.
 
We develop strategies through partnerships with churches abroad to bring vital doctrine (Acts 2:42) and operational lessons to equip local congregations for the work of the ministry.
We aim to reach the lost by equipping anointed men and women of God to travel abroad and reach local congregations with sound doctrine. ","Sunday Morning
10:00am
Wednesday Evenings
7:30pm",,38.6740278,-77.2808458
1,Verified,Abundant Life Ministries Inc.,Food,DrEllis@abundant-lifeministries.com,,,"PO Box 1878, Woodbridge, VA  22195",www.abundant-lifeministries.com,"A.L.M. Inc. is Called to Cultivate Community through the resources but not limited to Empowerment Conferences, Workshops, Community Outreach etc.                                                                               

Abundant Life works with local organizations in feeding the homeless as well as partnering with Spread the Word Ministries in Nigeria South Africa.  Our corporate colors are Red and White. Red represents the blood of Christ which was shed for the remission of sins for mankind and White represents purity and holiness.",,,38.6506141,-77.3130851
2,Verified,Abundant Life Ministries Inc.,Food,MinisterSonia@abundant-lifeministries.com,,,"PO Box 1878, Woodbridge, VA  22195",www.abundant-lifeministries.com,"A.L.M. Inc. is Called to Cultivate Community through the resources but not limited to Empowerment Conferences, Workshops, Community Outreach etc.                                                                               

Abundant Life works with local organizations in feeding the homeless as well as partnering with Spread the Word Ministries in Nigeria South Africa.  Our corporate colors are Red and White. Red represents the blood of Christ which was shed for the remission of sins for mankind and White represents purity and holiness.",,,38.6506141,-77.3130851
3,Verified,ACTS Beverly Warren Emergency Homeless Shelter,Housing Utilities Finances,info@actspwc.org,,703-221-3188,"17866 Main Street, Dumfries, VA 22026",https://actspwc.org/housing-assistance/,"The ACTS Beverly Warren Emergency Homeless Shelter provides emergency short-term housing to families and singles. Serves up to 18. Room and board are free; the shelter is open 24 hours a day for single females or families with children. Services include intensive case management, life skills training, and computer access for job and housing search. The ultimate goal of our program is the clients’ self-sufficiency.

If you are 
- Homeless
- Facing eviction
- Living on the street
- Living in an unsuitable for human habitation facility
Case managers offer guidance in applying for assistance to become self-sufficient, find permanent housing, and limited employment services, including Social Security and SNAP.

","Available 24/7 Yes
Additional Availability Comments
Assistance hours Mondays and Thursdays 9 - 11:30 am and 1 - 3 pm; Tuesdays 1 - 3:30 pm and 5 - 6:30 pm.","Intake Process Appointment is required. Call 703-441-8606 during service hours to schedule an appointment. Documentation needed at time of appointment.
Documents Required Picture ID , Proof of address , Income verification",38.5649806,-77.329984
4,Verified,ACTS Domestic Violence Support,Family,info@actspwc.org,,(703) 221-4951,"3900 ACTS lane, Dumfries, VA 22026",https://actspwc.org/domestic-violence/,"ACTS DOMESTIC VIOLENCE SERVICES’ (TURNING POINTS) MISSION IS TO EMPOWER VICTIMS TO BUILD LIVES FREE OF VIOLENCE THROUGH THE MANY SERVICES WE PROVIDE ON THEIR BEHALF.

These services include an 18-bed shelter, court advocacy and accompaniment; crisis counseling, safety planning and psycho-educational support groups for adults and children; a 24-hour hot line; groups for court-ordered men and women; specialized services for Spanish speaking victims; community education as well as training for allied professionals, staff and potential volunteers.

*Domestic Violence Services are offered in English and Spanish",,"Domestic Violence Hotline 24/7 support (703) 221-4951
",38.5631747,-77.3290854
5,Verified,ACTS Food Assitance,Food,info@actspwc.org,,(703) 441-8606,"3900 ACTS Lane, Dumfries, VA 22026",https://www.actspwc.org/services/food-assistance,"ACTS' food pantry provides food assistance to residents of the Greater Prince William Area, including the Cities of Manassas and Manassas Park. Clients who meet eligibility and bring the appropriate documents may obtain assistance once per month.

Ongoing assistance provides the following:

- Main Bag
- USDA Bag (if qualified)
- Meat
- Vegetables
- Toiletries
- Pet Food

Visitors without documentation will be provided one time assistance with an Emergency Bag, Main Bag, Bread, and Peanut Butter.

Food is distributed on a walk-in basis during operating hours. No appointment is needed. Food Assistance Services are offered in English and Spanish.","Main Location:
Sunday: Closed
Monday: 8:00 AM - 5:00 PM EST
Tuesday: 8:00 AM - 5:00 PM EST
Wednesday: 8:00 AM - 5:00 PM EST
Thursday: 8:00 AM - 5:00 PM EST
Friday: 8:00 AM - 5:00 PM EST
Saturday: Closed

ACTS Hunger Prevention Center:
Notes: Closed daily 11:30-12:30.
Sunday: Closed
Monday: 9:00 AM - 3:00 PM EST
Tuesday: 9:00 AM - 3:00 PM EST
Wednesday: 9:00 AM - 3:00 PM EST
Thursday: 9:00 AM - 3:00 PM EST
Friday: 9:00 AM - 3:00 PM EST
Saturday: Closed","Languages: English, Spanish
Documents Required
Identification:Photo I.D (required at each visit)
Proof of Income:Pay stubs or benefit/award letters or current bank statement etc. (required at each financial assistance visit)
Proof of Residency:Lease/Mortgage papers, piece of mail postmarked in the last 30 days etc. (required at initial visit and any time you move)
Household Member Documents:Birth Certificate or Social Security Card for persons under 18 years OR a piece of mail with the person’s name on it postmarked within the last 30 days for persons over 18 (*""residing in the home” means: anyone physically living on the property even if they are not a member of your immediate family).",38.5631747,-77.3290854
6,Verified,ACTS Sexual Assault Services,Hotlines Crisis,info@actspwc.org,,(703) 497-1192,,https://actspwc.org/sexual-assault/,"Each year, ACTS Sexual Assault Services supports approximately 400 individuals and their family members by providing advocacy and accompaniment to hospital forensic exams, court, and other criminal justice related interviews and appointments. We also work to raise awareness about sexual violence via trauma informed sessions, groups and events to engage survivors in our positive and empowering community of support. Sexual violence affects us all, and we welcome everyone regardless of race, religion, age, gender identity or expression, sexual orientation, socioeconomic class, disability, or immigration status.

If you would like to talk to a specialist about experiences as a result of sexual violence, have questions about what your options are, would like to know what happens following an assault, or would like information to support a loved one, you can contact ACTS Sexual Assault Services Hotline 24/7 at 703-497-1192. All of our services are provided at no cost, including outreach and education.We hold support groups throughout the year for hundreds of survivors of adult and childhood sexual violence, including ongoing groups at the Prince William Adult Detention Center.

*Sexual Assault Services are offered in English and Spanish.",24-hour hotline,,40.7035916,-104.7808024
7,Verified,ACTS Thrfit Store,Clothing,cwillut@actspwc.us,,(703) 221-3298,"3661 Canal Road, Dumfries, VA 22026",https://www.actspwc.org/thrift-store,"ACTS Family Assistance sells good used clothing, furniture, appliances and household goods and other items to anyone at a reasonable cost.  ACTS Family Assistance offers Thrift Stores Vouchers to eligible individuals.   All proceeds support ACTS services and programs.  The Thrift Store is located at 3661 Canal Road, Dumfries, VA 22026, 703-221-3298.","Monday - 10am-5pm
Tuesday, Wednesday Thursday & Friday - 10am-5pm
Saturday - 10am-5pm","Intake Process Walk-in
Documents Required Picture ID , Proof of address , Income verification
Self Refer Yes
Intake Contact Email cwillut@actspwc.us",38.5687205,-77.3221671
8,Verified,Adams Compassionate Healthcare Network,Medical and Healthcare,contact@achnhealth.org,,(703) 542-3366,"4431 Brookfield Corporate Drive, Unit F Chantilly, VA 20151",https://achnhealth.org/,"Founded in 2013, ACHN is dedicated to providing medical services to low-income and uninsured individuals. As our name suggests, we provide compassionate, quality healthcare to the most vulnerable of our population for free or at low cost.

Our comprehensive services are made possible thanks to the dedication and time of our community health partners and volunteer network of over 80 medical volunteers which include 15 primary care physicians, 32 specialists, and 33 medical volunteers, assistants, and student trainees.","Clinic Hours
Monday – 9:00am-3:00pm
Tuesday – 9:00am-3:00pm
Wednesday – 9:00am-3:00pm
Saturday – 9:00am-12:00pm",,38.8853636,-77.43770909999999
9,Verified,The Prince William - Manassas Regional Adult Detention Center,Detention Services ,adc@pwcgov.org,,(703)792-6420,"9320 Lee Ave., Manassas, VA 20110",https://www.pwcva.gov/department/adult-detention-center,"The Prince William - Manassas Regional Adult Detention Center serves Prince William County, including the towns of Occoquan, Quantico, Triangle, Dumfries, and Haymarket. The jail also serves the independent cities of Manassas, and Manassas Park. The Detention Center’s mission is to provide secure, safe, and healthful housing of prisoners; ensure staff safety; conduct rehabilitative programs that reduce recidivism following release; and to do so in as cost-effective a manner as possible.",8 a.m. until 4 p.m. Monday through Friday excluding holidays,,38.7519901,-77.4799665
