ORGANIZATION,EMAIL,PHONE,ADDRESS,WEBSITE,latitude,longitude,status,notes,zipcode,county
Catholic Charities-Hogar Immigrant Services,Hogar@ccda.net,(703) 534-9805,"6301 Little River Turnpike, Suite 300, Alexandria, VA  22312",https://www.ccda.net/hogarlegal/,38.8178023,-77.1438649,Pending,,22312,Alexandria
Center for Assistance to Families,info@mycaf.org,703-372-5440,"13923 Minnieville Rd Woodbridge, VA 22193",http://mycaf.org,38.6496525,-77.3272152,Pending,,22193,Woodbridge
Mental Health America (MHA),,703-684-7722,"500 Montgomery Street, Suite 820, Alexandria, VA, 22314",https://www.mhanational.org/young-minds,38.813668,-77.043379,Pending,,22314,Alexandria
Neighborhood Health,info@nhnva.org,(703) 535-5568,"6677 Richmond Highway, Alexandria, VA 22306",https://neighborhoodhealthva.org/,38.7734939,-77.0804621,Pending,,22306,Alexandria
Operation Renewed Hope (ORHF),,(703) 887-8117,"P.O. Box 10142, Alexandria, VA 22310","https://www.operationrenewedhopefoundation.org/need-help-now-contact-orhf-homeless-veterans/#:~:text=About%20ORHF,-We%20provide%20a&text=If%20you%20are%20a%20Veteran,support%20and%20services%20you%20need.",38.804693,-77.0435257,Pending,,22310,Alexandria
Samson Properties ,David.J.Morales2k@gmail.com,"(703)625-1592, (703)341-6271","6363 Walker Lane Suite 130, Alexandria, VA 22310",https://davidmorales.samsonproperties.net,38.7689257,-77.1569647,Pending,,22310,Alexandria
Tenants and Workers United,communications@tenantsandworkers.org,(703) 684-5697,"3801 Mount Vernon Avenue, Alexandria, VA 22305",https://www.tenantsandworkers.org/,38.8394033,-77.0623191,Pending,,22305,Alexandria
Just Neighbors,info@justneighbors.org,703-979-1240,"7630 Little River Turnpike Suite #900, Annandale, VA 22003",https://www.justneighbors.org/,38.83387,-77.2087563,Pending,,22003,Annandale
"Catholic Charities, Diocese of Arlington",info@ccda.net,703-548-4227,"200 North Glebe Road Suite 250, Arlington, VA 22203","https://www.ccda.net/find-food,-housing,-and-clothing/",38.8721356,-77.1036183,Pending,,22203,Arlington
Ethiopian Community Development Council,info@ecdcus.org,(703) 685-0510,"901 South Highland St, Floor 4, Arlington, VA 22204",https://www.ecdcus.org/,38.8630688,-77.0889761,Pending,,22204,Arlington
National Alliance on Mental Illness (NAMI),,703-524-7600,"4301 Wilson Blvd, Suite 300, Arlington, VA, 22203",https://www.nami.org/Support-Education/,38.8804719,-77.1128927,Pending,,22203,Arlington
Alive Church,hello@AliveVa.org,(571) 535-4788,"PO Box 534, Bristow, VA 20136",http://www.aliveva.org/,38.7492726,-77.5734048,Pending,,20136,Bristow
BARN Community Housing,,703-369-1325,"9541 Linton Hall Road, Bristow, VA 20136
","http://www.barncommunityhousing.org/
",38.7525202,-77.5648695,Pending,,20136,Bristow
Brentsville Presbyterian Church,pbdelash@cs.com,703-368-2546,"12305 Bristow Rd, Bristow, VA 20136",https://www.pcusa.org/congregations/10108/,38.6892242,-77.499504,Pending,,20136,Bristow
Bristow Assembly of God Church,info@BristowAssemblyOfGod.org,(703) 754-9086,"11804 Nokesville Rd, Bristow, VA 20136",http://bristowassemblyofgod.org/,38.7304312,-77.5503596,Pending,,20136,Bristow
Chapel Springs--An Assemblies of God Church,contact@chapelsprings.org,703-368-2895,"11500 New Life Way, Bristow, VA 20136",http://chapelsprings.org/,38.7338042,-77.5401307,Pending,,20136,Bristow
Grace Life Community Church,andrea.reed@gracelifecc.org,571-229-1700,"9560 Linton Hall Rd, Bristow, VA 20136",https://www.gracelifecc.org/,38.748234,-77.5657653,Pending,,20136,Bristow
